Time 	 R1 	 R2 	 R3 	 R4 	 R5
0.00 	 1117 	 2547 	 2478 	 1006 	 504
0.01 	 1243 	 2595 	 2456 	 1006 	 502
0.01 	 1310 	 2630 	 2462 	 1010 	 504
0.02 	 1388 	 2662 	 2439 	 1021 	 500
0.02 	 1448 	 2691 	 2420 	 1036 	 499
0.03 	 1482 	 2727 	 2404 	 1047 	 504
0.03 	 1522 	 2744 	 2395 	 1051 	 502
0.04 	 1555 	 2779 	 2382 	 1059 	 505
0.04 	 1607 	 2803 	 2373 	 1067 	 504
0.04 	 1647 	 2835 	 2358 	 1083 	 505
0.05 	 1621 	 2850 	 2342 	 1092 	 493
0.05 	 1627 	 2866 	 2334 	 1097 	 496
0.06 	 1620 	 2863 	 2319 	 1109 	 493
0.06 	 1665 	 2882 	 2306 	 1114 	 499
0.07 	 1694 	 2896 	 2306 	 1122 	 504
0.07 	 1692 	 2899 	 2294 	 1123 	 510
0.08 	 1682 	 2900 	 2299 	 1126 	 513
0.08 	 1682 	 2928 	 2297 	 1127 	 510
0.09 	 1685 	 2938 	 2286 	 1130 	 505
0.09 	 1701 	 2949 	 2284 	 1138 	 510
0.10 	 1674 	 2962 	 2300 	 1141 	 503
0.10 	 1691 	 2966 	 2299 	 1151 	 503
0.10 	 1674 	 2957 	 2297 	 1139 	 501
0.11 	 1660 	 2958 	 2288 	 1151 	 505
0.11 	 1663 	 2947 	 2298 	 1159 	 501
0.12 	 1664 	 2944 	 2298 	 1166 	 504
0.12 	 1657 	 2952 	 2300 	 1170 	 509
0.13 	 1648 	 2964 	 2295 	 1163 	 512
0.13 	 1646 	 2948 	 2291 	 1166 	 509
0.14 	 1665 	 2926 	 2286 	 1163 	 508
0.14 	 1667 	 2926 	 2287 	 1158 	 516
0.14 	 1652 	 2939 	 2289 	 1157 	 515
0.15 	 1637 	 2944 	 2291 	 1162 	 514
0.15 	 1650 	 2964 	 2293 	 1178 	 513
0.16 	 1655 	 2952 	 2288 	 1164 	 509
0.16 	 1648 	 2964 	 2282 	 1170 	 506
0.17 	 1649 	 2974 	 2287 	 1167 	 507
0.17 	 1638 	 2969 	 2273 	 1177 	 503
0.18 	 1611 	 2961 	 2268 	 1195 	 503
0.18 	 1623 	 2974 	 2250 	 1201 	 498
0.19 	 1627 	 2977 	 2256 	 1211 	 497
0.19 	 1655 	 2971 	 2257 	 1201 	 500
0.19 	 1644 	 2979 	 2267 	 1200 	 504
0.20 	 1652 	 2986 	 2255 	 1204 	 509
0.20 	 1671 	 2981 	 2258 	 1190 	 514
0.21 	 1672 	 2978 	 2260 	 1193 	 515
0.21 	 1667 	 2973 	 2273 	 1199 	 512
0.22 	 1625 	 2981 	 2267 	 1191 	 510
0.22 	 1606 	 2973 	 2274 	 1201 	 502
0.23 	 1584 	 2971 	 2274 	 1202 	 495
0.23 	 1568 	 2972 	 2284 	 1199 	 503
0.24 	 1576 	 2961 	 2279 	 1216 	 506
0.24 	 1570 	 2954 	 2280 	 1216 	 504
0.24 	 1585 	 2954 	 2285 	 1219 	 511
0.25 	 1566 	 2937 	 2294 	 1213 	 514
0.25 	 1543 	 2935 	 2301 	 1217 	 514
0.26 	 1547 	 2955 	 2303 	 1206 	 513
0.26 	 1546 	 2953 	 2328 	 1199 	 510
0.27 	 1540 	 2939 	 2345 	 1197 	 511
0.27 	 1570 	 2929 	 2339 	 1204 	 508
0.28 	 1568 	 2916 	 2332 	 1211 	 503
0.28 	 1578 	 2928 	 2322 	 1209 	 503
0.29 	 1579 	 2933 	 2329 	 1209 	 498
0.29 	 1568 	 2937 	 2338 	 1211 	 490
0.30 	 1595 	 2921 	 2351 	 1204 	 491
0.30 	 1600 	 2894 	 2350 	 1203 	 493
0.30 	 1603 	 2893 	 2357 	 1202 	 487
0.31 	 1594 	 2908 	 2360 	 1200 	 490
0.31 	 1604 	 2901 	 2372 	 1198 	 491
0.32 	 1597 	 2894 	 2377 	 1206 	 484
0.32 	 1599 	 2895 	 2355 	 1205 	 484
0.33 	 1607 	 2890 	 2349 	 1193 	 487
0.33 	 1593 	 2877 	 2355 	 1191 	 494
0.34 	 1581 	 2878 	 2367 	 1200 	 498
0.34 	 1586 	 2886 	 2370 	 1197 	 489
0.35 	 1579 	 2879 	 2366 	 1206 	 478
0.35 	 1597 	 2889 	 2384 	 1235 	 479
0.35 	 1581 	 2889 	 2395 	 1235 	 478
0.36 	 1564 	 2886 	 2384 	 1236 	 478
0.36 	 1548 	 2896 	 2394 	 1234 	 474
0.37 	 1550 	 2898 	 2391 	 1245 	 470
0.37 	 1547 	 2883 	 2391 	 1245 	 474
0.38 	 1543 	 2885 	 2396 	 1246 	 474
0.38 	 1533 	 2876 	 2388 	 1237 	 476
0.39 	 1530 	 2868 	 2393 	 1237 	 476
0.39 	 1523 	 2862 	 2403 	 1236 	 476
0.40 	 1514 	 2873 	 2409 	 1243 	 469
0.40 	 1508 	 2884 	 2403 	 1241 	 462
0.40 	 1509 	 2870 	 2418 	 1243 	 460
0.41 	 1505 	 2865 	 2440 	 1243 	 463
0.41 	 1494 	 2850 	 2422 	 1240 	 460
0.42 	 1516 	 2843 	 2432 	 1248 	 461
0.42 	 1521 	 2852 	 2437 	 1244 	 460
0.43 	 1530 	 2845 	 2440 	 1242 	 467
0.43 	 1524 	 2854 	 2443 	 1243 	 466
0.44 	 1527 	 2841 	 2457 	 1237 	 468
0.44 	 1560 	 2836 	 2462 	 1254 	 466
0.45 	 1578 	 2831 	 2458 	 1254 	 461
0.45 	 1549 	 2838 	 2455 	 1254 	 464
0.46 	 1534 	 2834 	 2464 	 1261 	 465
0.46 	 1513 	 2844 	 2470 	 1257 	 458
0.47 	 1502 	 2858 	 2462 	 1266 	 462
0.47 	 1505 	 2866 	 2463 	 1269 	 467
0.48 	 1523 	 2858 	 2469 	 1270 	 460
0.48 	 1521 	 2856 	 2483 	 1262 	 464
0.49 	 1529 	 2837 	 2491 	 1257 	 462
0.49 	 1515 	 2832 	 2494 	 1257 	 456
0.50 	 1516 	 2825 	 2499 	 1253 	 459
0.50 	 1499 	 2824 	 2493 	 1261 	 465
