Time v1 v2 v3 v4 v5 R1 R2 R3 R4 R5
16 -61.6667448015668 -83.5991270874679 -5.37981400369267 22.8469631427729 -68.0707409303164 911.851799764592 1416.82885555861 2009.32714414991 1051.77999237309 432.861116934775
17 -2.17570129066610 -68.473055593119 -5.37981419017058 22.8469600767698 1.74071043921968 846.047353326427 1290.01550682278 1997.52014687668 1109.40938310787 381.693118140001
18 76.6977600580016 -50.9682262801157 -5.37981525652799 22.8469601551062 -16.1740356165055 908.155174560648 1275.37419363068 2034.11228039740 1079.75163075099 410.825109700462
19 95.9748742315125 -48.6128390938293 -5.37981613498528 22.8469632993415 -103.876315131082 997.468999839685 1216.96121132639 1979.19704351753 1137.82244088353 329.046636698143
20.5 -3127.35563912756 1758.34600990593 678.163413838705 64.9115412768547 84.6715533013016 6409.17802979218 2506.89251154991 2128.27503295702 1112.48714397867 316.031076901739
21 -2713.98467838911 1358.12851902822 809.274009395144 115.160425642992 84.6062344538161 4889.58521074221 3330.43709063035 2459.34637798799 1112.48125272190 360.0378788726
22 -1408.30187094137 68.3288353175741 888.139757537764 246.436355469363 84.2377978095751 2901.26660447116 3985.43603250221 3410.52914661941 1332.23745080584 429.111753306647
24 -342.751254880199 -689.921964276666 109.507603022936 267.680775787321 68.5523231025363 1432.59445504188 2964.58720192186 4415.8476826524 1874.46296951907 604.194752504023
26 -107.156012910149 -335.288993407634 -355.818655213728 3.29334098205877 25.9306575245667 975.756183038537 1967.70661018321 4047.2470587534 2218.42923343571 720.047732040691
28 0.509186315694417 -156.267227566762 -410.889590348573 -178.299912448426 -21.7844226389250 917.533525941726 1507.46519385755 3264.8064537097 1938.05753335780 706.440569363448
30 0.146829448840915 -19.6252620231818 -212.488224154288 -129.813075107467 -50.9270236265682 905.945603020669 1314.24867190130 2571.69707171764 1650.16846685081 635.86472937844
32 13.9479603517353 32.2107881773121 -113.119960812724 -95.2208269707738 -46.9194041939372 927.23560312311 1372.45960815640 2350.56707624144 1415.25530503771 487.05873254504
34 -30.6756501387453 -0.714877776543859 -116.865847648431 -53.5229041481148 -31.7915936601298 923.154317096406 1386.64472336844 2051.51460615058 1272.92801885351 473.404677446096
36 11.6499664631649 -40.7086322496702 -18.8996443747151 -34.7676679128067 -10.2940142582936 862.056052149482 1364.88783510093 1949.05657075732 1186.76769089805 361.74921541756
38 23.2326697479734 -10.2741428100486 12.7370989669871 -27.2156175316989 10.5021734311352 949.36894800481 1270.68517732172 1932.85068819865 1126.24982040907 419.983219019515
40 -48.1662442345539 69.1353075792911 42.2218920122674 -25.6283752839628 12.0907413202582 900.014472902175 1356.35771064864 1998.11586734264 1073.90947124597 428.22687368206
