Time R1 R2 R3 R4 R5
15 953 1328 1984 1073 388
15.01 940 1320 1984 1076 392
15.01 938 1311 1993 1068 394
15.02 941 1310 1989 1085 393
15.03 918 1311 1987 1071 393
15.03 920 1296 1975 1060 395
15.04 920 1299 1967 1069 389
15.05 931 1306 1972 1079 388
15.05 927 1306 1983 1080 386
15.06 923 1288 1993 1071 387
15.07 919 1284 1983 1077 385
15.07 939 1295 1975 1080 387
15.08 937 1288 1975 1081 379
15.09 933 1293 1969 1071 384
15.09 924 1308 1952 1055 385
15.1 929 1303 1964 1059 385
15.11 945 1292 1955 1078 390
15.11 957 1304 1964 1078 389
15.12 955 1305 1971 1078 389
15.12 926 1308 1954 1086 396
15.13 958 1313 1943 1074 396
15.14 957 1325 1957 1060 393
15.14 963 1326 1953 1074 390
15.15 961 1346 1949 1062 388
15.16 952 1340 1945 1057 390
15.16 936 1330 1948 1070 396
15.17 952 1335 1952 1068 401
15.18 952 1314 1960 1064 404
15.18 948 1327 1962 1063 406
15.19 952 1332 1965 1062 399
15.19 923 1327 1983 1077 406
15.2 945 1350 2005 1072 410
15.21 968 1349 2005 1069 409
15.21 948 1343 2007 1068 408
15.22 941 1341 2011 1064 415
15.23 942 1358 2018 1074 412
15.24 962 1344 2020 1082 414
15.24 992 1321 2023 1092 416
15.25 990 1325 2034 1094 419
15.25 993 1325 2027 1094 417
15.26 995 1327 2021 1085 416
15.27 1003 1321 2014 1097 411
15.27 993 1311 2007 1090 409
15.28 965 1311 2027 1098 407
15.29 937 1316 2018 1096 413
15.29 951 1337 2018 1105 413
15.3 939 1341 2018 1097 417
15.31 934 1335 2017 1109 421
15.31 927 1316 2007 1114 420
15.32 934 1324 1989 1106 421
15.33 952 1303 1992 1106 421
15.33 938 1297 2000 1088 425
15.34 918 1305 2006 1094 421
15.34 920 1296 2023 1094 419
15.35 912 1310 2024 1095 417
15.36 922 1314 2005 1102 417
15.36 939 1307 2011 1098 413
15.37 930 1315 2013 1114 420
15.38 915 1316 2007 1125 409
15.38 913 1311 1990 1137 417
