Time R1 R2 R3 R4 R5
15 953 1328 1984 1073 388
15.66 908 1352 1975 1101 392
16.31 931 1289 2023 1057 436
16.99 826 1278 2024 1112 386
17.66 871 1305 2027 1108 377
18.33 841 1249 1991 1075 392
19 923 1274 1924 1087 370
19.66 962 1192 1975 1043 392
20.15 7489 1731 1996 1043 397
20.46 6418 2449 2081 1093 375
20.78 5576 3055 2302 1081 386
21.1 4702 3486 2564 1174 382
21.42 3930 3730 2880 1202 426
21.76 3238 3955 3185 1309 449
22.1 2699 3999 3522 1398 450
22.46 2344 3908 3787 1439 456
22.84 1986 3711 4142 1566 521
23.22 1696 3469 4285 1637 549
23.63 1530 3210 4467 1831 546
24.05 1397 2985 4405 1916 609
24.48 1255 2718 4455 1986 586
24.93 1135 2536 4362 2109 604
25.4 1037 2248 4290 2181 632
25.88 979 2066 4054 2178 695
26.38 967 1942 3832 2235 672
26.88 935 1750 3717 2174 702
27.41 989 1651 3476 2050 658
27.94 962 1531 3245 1976 690
28.49 940 1487 3031 1958 598
29.05 941 1414 2835 1787 609
29.63 908 1373 2710 1735 606
30.22 948 1397 2501 1628 610
30.82 925 1367 2432 1508 568
31.42 1007 1334 2364 1449 500
32.04 949 1342 2287 1394 466
32.66 933 1307 2245 1341 498
33.29 911 1353 2140 1322 468
33.93 942 1371 2011 1229 489
34.56 946 1320 2040 1239 409
35.2 908 1350 2032 1173 437
35.85 845 1324 1971 1193 423
36.51 855 1297 1942 1215 399
37.18 966 1305 1926 1157 414
37.84 925 1334 1967 1150 372
38.49 903 1295 1925 1127 408
39.15 949 1299 1911 1127 376
39.8 890 1350 1940 1149 429
